# brand,name,section,usd,longevity,tags,image,description,why,link1Label,link1Url,link2Label,link2Url,link3Label,link3Url
Dior,Sauvage,popular,120,4,fresh|spicy|blue,,Easy compliments and super versatile,Best daily blue scent starter,Amazon,https://www.amazon.ca/s?k=Dior%20Sauvage,FragranceNet,https://www.fragrancenet.com/search?query=Dior%20Sauvage,FragranceX,https://www.fragrancex.com/search/search?query=Dior%20Sauvage
Chanel,Bleu de Chanel,popular,150,4,fresh|woody|blue,,Clean rich and classy,Perfect office and date scent,Amazon,https://www.amazon.ca/s?k=Bleu%20de%20Chanel,FragranceNet,https://www.fragrancenet.com/search?query=Bleu%20de%20Chanel,FragranceX,https://www.fragrancex.com/search/search?query=Bleu%20de%20Chanel
YSL,Y EDP,popular,140,4,fresh|aromatic|blue,,Fresh modern and crowd pleasing,Safe all season pick,Amazon,https://www.amazon.ca/s?k=YSL%20Y%20EDP,FragranceNet,https://www.fragrancenet.com/search?query=YSL%20Y%20EDP,FragranceX,https://www.fragrancex.com/search/search?query=YSL%20Y%20EDP
Valentino,Uomo Born in Roma,popular,130,4,sweet|fresh|modern,,Fresh sweet and stylish,Great compliment scent,Amazon,https://www.amazon.ca/s?k=Valentino%20Uomo%20Born%20in%20Roma,FragranceNet,https://www.fragrancenet.com/search?query=Valentino%20Uomo%20Born%20in%20Roma,FragranceX,https://www.fragrancex.com/search/search?query=Valentino%20Uomo%20Born%20in%20Roma
JPG,Le Male,popular,95,3,sweet|mint|classic,,Sweet mint classic vibe,Iconic club and casual scent,Amazon,https://www.amazon.ca/s?k=Jean%20Paul%20Gaultier%20Le%20Male,FragranceNet,https://www.fragrancenet.com/search?query=Jean%20Paul%20Gaultier%20Le%20Male,FragranceX,https://www.fragrancex.com/search/search?query=Jean%20Paul%20Gaultier%20Le%20Male
Versace,Eros,popular,75,4,sweet|vanilla|party,,Sweet loud club scent,Party favorite,Amazon,https://www.amazon.ca/s?k=Versace%20Eros,FragranceNet,https://www.fragrancenet.com/search?query=Versace%20Eros,FragranceX,https://www.fragrancex.com/search/search?query=Versace%20Eros

Versace,Pour Homme,summer,45,3,clean|fresh|office,,Bright clean and easy,Cheap summer daily,Amazon,https://www.amazon.ca/s?k=Versace%20Pour%20Homme,FragranceNet,https://www.fragrancenet.com/search?query=Versace%20Pour%20Homme,FragranceX,https://www.fragrancex.com/search/search?query=Versace%20Pour%20Homme
D&G,Light Blue,summer,55,3,citrus|fresh|summer,,Citrus fresh and uplifting,Heat safe scent,Amazon,https://www.amazon.ca/s?k=D%26G%20Light%20Blue%20pour%20homme,FragranceNet,https://www.fragrancenet.com/search?query=Light%20Blue%20Pour%20Homme,FragranceX,https://www.fragrancex.com/search/search?query=Light%20Blue%20Pour%20Homme
Armani,Acqua di Gio,summer,80,3,aquatic|fresh|classic,,Aquatic clean and timeless,Everyday summer staple,Amazon,https://www.amazon.ca/s?k=Acqua%20di%20Gio%20Pour%20Homme,FragranceNet,https://www.fragrancenet.com/search?query=Acqua%20di%20Gio%20Pour%20Homme,FragranceX,https://www.fragrancex.com/search/search?query=Acqua%20di%20Gio%20Pour%20Homme
Rasasi,Hawas,summer,45,4,aquatic|fruity|fresh,,Fruity aquatic beast,Best value summer scent,Amazon,https://www.amazon.ca/s?k=Rasasi%20Hawas,FragranceNet,https://www.fragrancenet.com/search?query=Rasasi%20Hawas,FragranceX,https://www.fragrancex.com/search/search?query=Rasasi%20Hawas
Issey Miyake,L Eau d Issey,summer,45,3,citrus|fresh|clean,,Sharp fresh citrus,Classic fresh pick,Amazon,https://www.amazon.ca/s?k=L%27Eau%20d%27Issey%20Pour%20Homme,FragranceNet,https://www.fragrancenet.com/search?query=L%27Eau%20d%27Issey%20Pour%20Homme,FragranceX,https://www.fragrancex.com/search/search?query=L%27Eau%20d%27Issey%20Pour%20Homme
Chanel,Allure Homme Sport,summer,135,3,fresh|sporty|clean,,Creamy sporty fresh,High quality summer scent,Amazon,https://www.amazon.ca/s?k=Chanel%20Allure%20Homme%20Sport,FragranceNet,https://www.fragrancenet.com/search?query=Chanel%20Allure%20Homme%20Sport,FragranceX,https://www.fragrancex.com/search/search?query=Chanel%20Allure%20Homme%20Sport
Bvlgari,Aqva,summer,55,3,marine|fresh|summer,,Salty aquatic fresh,Unique summer option,Amazon,https://www.amazon.ca/s?k=Bvlgari%20Aqva%20Pour%20Homme,FragranceNet,https://www.fragrancenet.com/search?query=Bvlgari%20Aqva%20Pour%20Homme,FragranceX,https://www.fragrancex.com/search/search?query=Bvlgari%20Aqva%20Pour%20Homme

Viktor and Rolf,Spicebomb Extreme,winter,120,5,spicy|vanilla|winter,,Warm spicy and sweet,Top winter scent,Amazon,https://www.amazon.ca/s?k=Spicebomb%20Extreme,FragranceNet,https://www.fragrancenet.com/search?query=Spicebomb%20Extreme,FragranceX,https://www.fragrancex.com/search/search?query=Spicebomb%20Extreme
Azzaro,Wanted by Night,winter,70,4,spicy|sweet|night,,Cinnamon sweet winter,Great cold weather pick,Amazon,https://www.amazon.ca/s?k=Azzaro%20Wanted%20by%20Night,FragranceNet,https://www.fragrancenet.com/search?query=Azzaro%20Wanted%20by%20Night,FragranceX,https://www.fragrancex.com/search/search?query=Azzaro%20Wanted%20by%20Night
JPG,Le Male Le Parfum,winter,125,4,vanilla|spicy|cozy,,Vanilla spice dark Le Male,Strong winter vibe,Amazon,https://www.amazon.ca/s?k=Le%20Male%20Le%20Parfum,FragranceNet,https://www.fragrancenet.com/search?query=Le%20Male%20Le%20Parfum,FragranceX,https://www.fragrancex.com/search/search?query=Le%20Male%20Le%20Parfum
Dior,Sauvage Elixir,winter,180,5,spicy|strong|beast,,Ultra strong spicy,Beast winter performer,Amazon,https://www.amazon.ca/s?k=Sauvage%20Elixir,FragranceNet,https://www.fragrancenet.com/search?query=Sauvage%20Elixir,FragranceX,https://www.fragrancex.com/search/search?query=Sauvage%20Elixir

YSL,La Nuit de L Homme,date,110,3,cardamom|smooth|date,,Smooth spicy and cozy,Close range date scent,Amazon,https://www.amazon.ca/s?k=La%20Nuit%20de%20L%27Homme,FragranceNet,https://www.fragrancenet.com/search?query=La%20Nuit%20de%20L%27Homme,FragranceX,https://www.fragrancex.com/search/search?query=La%20Nuit%20de%20L%27Homme
Azzaro,The Most Wanted,date,95,4,sweet|spicy|date,,Sweet loud compliment magnet,Top night scent,Amazon,https://www.amazon.ca/s?k=Azzaro%20The%20Most%20Wanted,FragranceNet,https://www.fragrancenet.com/search?query=Azzaro%20The%20Most%20Wanted,FragranceX,https://www.fragrancex.com/search/search?query=Azzaro%20The%20Most%20Wanted
Armani,Stronger With You Intensely,date,115,5,sweet|cozy|beast,,Sweet cozy beast,Cold night favorite,Amazon,https://www.amazon.ca/s?k=Stronger%20With%20You%20Intensely,FragranceNet,https://www.fragrancenet.com/search?query=Stronger%20With%20You%20Intensely,FragranceX,https://www.fragrancex.com/search/search?query=Stronger%20With%20You%20Intensely
Givenchy,Gentleman Reserve Privee,date,110,4,iris|boozy|date,,Iris whiskey smooth,Classy date pick,Amazon,https://www.amazon.ca/s?k=Gentleman%20Reserve%20Privee,FragranceNet,https://www.fragrancenet.com/search?query=Gentleman%20Reserve%20Privee,FragranceX,https://www.fragrancex.com/search/search?query=Gentleman%20Reserve%20Privee
Valentino,Uomo Intense,date,120,4,iris|leather|date,,Smooth iris leather,Very classy date scent,Amazon,https://www.amazon.ca/s?k=Valentino%20Uomo%20Intense,FragranceNet,https://www.fragrancenet.com/search?query=Valentino%20Uomo%20Intense,FragranceX,https://www.fragrancex.com/search/search?query=Valentino%20Uomo%20Intense
Ferragamo,Uomo Signature,date,55,4,coffee|leather|sweet,,Coffee leather sweet,Cheap date banger,Amazon,https://www.amazon.ca/s?k=Ferragamo%20Uomo%20Signature,FragranceNet,https://www.fragrancenet.com/search?query=Ferragamo%20Uomo%20Signature,FragranceX,https://www.fragrancex.com/search/search?query=Ferragamo%20Uomo%20Signature

Prada,L Homme,office,90,3,soapy|clean|office,,Soapy clean professional,Office safe signature,Amazon,https://www.amazon.ca/s?k=Prada%20L%27Homme,FragranceNet,https://www.fragrancenet.com/search?query=Prada%20L%27Homme,FragranceX,https://www.fragrancex.com/search/search?query=Prada%20L%27Homme
Hermes,Terre d Hermes,office,90,4,citrus|woody|classy,,Citrus woody classy,Daily mature scent,Amazon,https://www.amazon.ca/s?k=Terre%20d%27Hermes,FragranceNet,https://www.fragrancenet.com/search?query=Terre%20d%27Hermes,FragranceX,https://www.fragrancex.com/search/search?query=Terre%20d%27Hermes
Narciso Rodriguez,Bleu Noir,office,85,3,musky|clean|office,,Musky smooth clean,Safe daily scent,Amazon,https://www.amazon.ca/s?k=Narciso%20Rodriguez%20Bleu%20Noir,FragranceNet,https://www.fragrancenet.com/search?query=Bleu%20Noir%20Narciso%20Rodriguez,FragranceX,https://www.fragrancex.com/search/search?query=Bleu%20Noir%20Narciso%20Rodriguez
Dior,Homme 2020,office,110,3,woody|clean|office,,Modern woody clean,Easy professional scent,Amazon,https://www.amazon.ca/s?k=Dior%20Homme%202020,FragranceNet,https://www.fragrancenet.com/search?query=Dior%20Homme%202020,FragranceX,https://www.fragrancex.com/search/search?query=Dior%20Homme%202020
Chanel,Egoiste Platinum,office,130,3,barbershop|clean|classic,,Metallic clean fougere,High quality office,Amazon,https://www.amazon.ca/s?k=Egoiste%20Platinum,FragranceNet,https://www.fragrancenet.com/search?query=Egoiste%20Platinum,FragranceX,https://www.fragrancex.com/search/search?query=Egoiste%20Platinum

Lattafa,Khamrah,sweet,35,4,sweet|cinnamon|gourmand,,Cinnamon dessert sweet,Best cheap gourmand,Amazon,https://www.amazon.ca/s?k=Lattafa%20Khamrah,FragranceNet,https://www.fragrancenet.com/search?query=Lattafa%20Khamrah,FragranceX,https://www.fragrancex.com/search/search?query=Lattafa%20Khamrah
Afnan,9PM,sweet,35,4,sweet|vanilla|party,,Sweet fruity club scent,Top cheap compliment scent,Amazon,https://www.amazon.ca/s?k=Afnan%209PM,FragranceNet,https://www.fragrancenet.com/search?query=Afnan%209PM,FragranceX,https://www.fragrancex.com/search/search?query=Afnan%209PM
Guerlain,L Homme Ideal EDP,sweet,95,4,almond|sweet|date,,Almond sweet classy,Unique sweet signature,Amazon,https://www.amazon.ca/s?k=Guerlain%20L%27Homme%20Ideal%20EDP,FragranceNet,https://www.fragrancenet.com/search?query=Guerlain%20L%27Homme%20Ideal%20EDP,FragranceX,https://www.fragrancex.com/search/search?query=Guerlain%20L%27Homme%20Ideal%20EDP
Montale,Intense Cafe,sweet,110,4,rose|coffee|sweet,,Rose coffee gourmand,Very unique sweet,Amazon,https://www.amazon.ca/s?k=Montale%20Intense%20Cafe,FragranceNet,https://www.fragrancenet.com/search?query=Montale%20Intense%20Cafe,FragranceX,https://www.fragrancex.com/search/search?query=Montale%20Intense%20Cafe
Nishane,Ani,sweet,220,5,vanilla|spicy|niche,,Vanilla spicy niche beast,Top niche vanilla,Amazon,https://www.amazon.ca/s?k=Nishane%20Ani,FragranceNet,https://www.fragrancenet.com/search?query=Nishane%20Ani,FragranceX,https://www.fragrancex.com/search/search?query=Nishane%20Ani

Creed,Aventus,niche,280,4,fruity|smoky|niche,,Fruity smoky icon,Status crowd pleaser,Amazon,https://www.amazon.ca/s?k=Creed%20Aventus,FragranceNet,https://www.fragrancenet.com/search?query=Creed%20Aventus,FragranceX,https://www.fragrancex.com/search/search?query=Creed%20Aventus
Nishane,Hacivat,niche,220,5,citrus|woody|niche,,Citrus oakmoss beast,Best fresh niche,Amazon,https://www.amazon.ca/s?k=Nishane%20Hacivat,FragranceNet,https://www.fragrancenet.com/search?query=Nishane%20Hacivat,FragranceX,https://www.fragrancex.com/search/search?query=Nishane%20Hacivat
PDM,Layton,niche,260,5,sweet|spicy|niche,,Sweet spicy smooth,Top niche complimenter,Amazon,https://www.amazon.ca/s?k=Parfums%20de%20Marly%20Layton,FragranceNet,https://www.fragrancenet.com/search?query=PDM%20Layton,FragranceX,https://www.fragrancex.com/search/search?query=PDM%20Layton
Xerjoff,Naxos,niche,250,5,tobacco|honey|niche,,Honey tobacco luxury,Elite niche scent,Amazon,https://www.amazon.ca/s?k=Xerjoff%20Naxos,FragranceNet,https://www.fragrancenet.com/search?query=Xerjoff%20Naxos,FragranceX,https://www.fragrancex.com/search/search?query=Xerjoff%20Naxos
Amouage,Reflection Man,niche,310,4,clean|luxury|niche,,Luxury fresh clean,High class signature,Amazon,https://www.amazon.ca/s?k=Amouage%20Reflection%20Man,FragranceNet,https://www.fragrancenet.com/search?query=Amouage%20Reflection%20Man,FragranceX,https://www.fragrancex.com/search/search?query=Amouage%20Reflection%20Man

Armaf,Club de Nuit Intense Man,clone,35,4,smoky|fruity|value,,Aventus style cheap,Best value clone,Amazon,https://www.amazon.ca/s?k=Club%20de%20Nuit%20Intense%20Man,FragranceNet,https://www.fragrancenet.com/search?query=Club%20de%20Nuit%20Intense%20Man,FragranceX,https://www.fragrancex.com/search/search?query=Club%20de%20Nuit%20Intense%20Man
Al Haramain,L Aventure,clone,30,4,aventus|clone|value,,Fresh smoky clone,Cheap niche vibe,Amazon,https://www.amazon.ca/s?k=Al%20Haramain%20L%27Aventure,FragranceNet,https://www.fragrancenet.com/search?query=Al%20Haramain%20L%27Aventure,FragranceX,https://www.fragrancex.com/search/search?query=Al%20Haramain%20L%27Aventure
Lattafa,Asad,clone,30,4,spicy|strong|clone,,Sauvage Elixir style,Cheap strong spicy,Amazon,https://www.amazon.ca/s?k=Lattafa%20Asad,FragranceNet,https://www.fragrancenet.com/search?query=Lattafa%20Asad,FragranceX,https://www.fragrancex.com/search/search?query=Lattafa%20Asad
Afnan,Modest Une,clone,30,4,spicy|fresh|clone,,Sauvage style clone,Daily cheap fresh,Amazon,https://www.amazon.ca/s?k=Afnan%20Modest%20Une,FragranceNet,https://www.fragrancenet.com/search?query=Afnan%20Modest%20Une,FragranceX,https://www.fragrancex.com/search/search?query=Afnan%20Modest%20Une
Armaf,Sillage,clone,40,4,citrus|musky|clone,,Silver mountain vibe clone,Fresh musky value,Amazon,https://www.amazon.ca/s?k=Armaf%20Sillage,FragranceNet,https://www.fragrancenet.com/search?query=Armaf%20Sillage,FragranceX,https://www.fragrancex.com/search/search?query=Armaf%20Sillage

Nautica,Voyage,cheap,20,2,aquatic|cheap|fresh,,Fresh aquatic easy,Ultra cheap daily,Amazon,https://www.amazon.ca/s?k=Nautica%20Voyage,FragranceNet,https://www.fragrancenet.com/search?query=Nautica%20Voyage,FragranceX,https://www.fragrancex.com/search/search?query=Nautica%20Voyage
Davidoff,Cool Water,cheap,25,2,aquatic|cheap|classic,,Classic aquatic fresh,Nostalgic cheapie,Amazon,https://www.amazon.ca/s?k=Cool%20Water%20Davidoff,FragranceNet,https://www.fragrancenet.com/search?query=Cool%20Water%20Davidoff,FragranceX,https://www.fragrancex.com/search/search?query=Cool%20Water%20Davidoff
Lalique,White,cheap,30,3,clean|citrus|cheap,,Crisp fresh clean,Good budget daily,Amazon,https://www.amazon.ca/s?k=Lalique%20White,FragranceNet,https://www.fragrancenet.com/search?query=Lalique%20White,FragranceX,https://www.fragrancex.com/search/search?query=Lalique%20White
Ferragamo,F Black,cheap,25,3,lavender|spicy|cheap,,Fresh spicy cheap,Good starter scent,Amazon,https://www.amazon.ca/s?k=Ferragamo%20F%20Black,FragranceNet,https://www.fragrancenet.com/search?query=Ferragamo%20F%20Black,FragranceX,https://www.fragrancex.com/search/search?query=Ferragamo%20F%20Black

Lalique,Encre Noire,hidden,30,4,woody|dark|vetiver,,Dark vetiver woody,Gatekept value,Amazon,https://www.amazon.ca/s?k=Lalique%20Encre%20Noire,FragranceNet,https://www.fragrancenet.com/search?query=Lalique%20Encre%20Noire,FragranceX,https://www.fragrancex.com/search/search?query=Lalique%20Encre%20Noire
Bentley,For Men Intense,hidden,35,5,boozy|leather|strong,,Boozy leather beast,Strong hidden banger,Amazon,https://www.amazon.ca/s?k=Bentley%20For%20Men%20Intense,FragranceNet,https://www.fragrancenet.com/search?query=Bentley%20For%20Men%20Intense,FragranceX,https://www.fragrancex.com/search/search?query=Bentley%20For%20Men%20Intense
Mercedes Benz,Club Black,hidden,40,4,vanilla|amber|cozy,,Warm vanilla amber,Hidden cozy pick,Amazon,https://www.amazon.ca/s?k=Mercedes%20Benz%20Club%20Black,FragranceNet,https://www.fragrancenet.com/search?query=Mercedes%20Benz%20Club%20Black,FragranceX,https://www.fragrancex.com/search/search?query=Mercedes%20Benz%20Club%20Black
Rasasi,La Yuqawam,hidden,70,5,leather|sweet|strong,,Leather fruity luxe,Insane value leather,Amazon,https://www.amazon.ca/s?k=Rasasi%20La%20Yuqawam,FragranceNet,https://www.fragrancenet.com/search?query=Rasasi%20La%20Yuqawam,FragranceX,https://www.fragrancex.com/search/search?query=Rasasi%20La%20Yuqawam
